stream,target,cadence,offset,datatype,description,tags,url,uri,headers,payload,hook
Michigan_Wind_Generation - 1 month,response.data[0].generation,2592000,0,float,Michigan Wind Generation,"electricity,wind",https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-MI-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-MI-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Microsoft_Corporation - 1 day( 5/week ),,86400,0,float,"Microsoft Corporation Daily Prices (open, high, low, close) and Volumes",price,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&symbol=MSFT&outputsize=full,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&symbol=MSFT&outputsize=full&apikey=YOUR_API_KEY,,,"def postRequestHook(response): return float(sorted(response.json()['Time Series (Daily)'].items(), key=lambda x: __import__('datetime').datetime.strptime(x[0], '%Y-%m-%d'))[-1][1]['1. open']) if response.text != '' and response.json()['Time Series (Daily)'] else None"
Mid_Atlantic_All_Grades_Conventional_Retail_Gasoline_Prices - 1 month,response.data[0].value,2592000,0,float,Mid Atlantic All Grades Conventional Retail Gasoline Prices,PRICE,https://api.eia.gov//v2//seriesid//PET.EMM_EPM0_PTE_SMA_DPG.M,https://api.eia.gov//v2//seriesid//PET.EMM_EPM0_PTE_SMA_DPG.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Migration_Data - 1 yr,[1][0].value,31449600,0,float,Migration Data,migration,https://api.worldbank.org/v2/country/WLD/indicator/SP.POP.DPND?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Military_expenditure - 1 yr,[1][0].value,31449600,0,float,Military expenditure,spend,https://api.worldbank.org/v2/country/WLD/indicator/MS.MIL.XPND.GD.ZS?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Mineral_rents(% of GDP) - 1 yr,[1][0].value,31449600,0,float,Mineral rents(% of GDP),GDP,https://api.worldbank.org/v2/country/WLD/indicator/NY.GDP.MINR.RT.ZS?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Mining_Employment - 1 month,observations[-1].value,2592000,0,float,Mining Employment,employment,https://api.stlouisfed.org/fred/series/observations?series_id=USMINE&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=USMINE&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Mining_Production - 1 month,observations[-1].value,2592000,0,float,Mining Production,production,https://api.stlouisfed.org/fred/series/observations?series_id=IPMINE&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IPMINE&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Minnesota_Average_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Minnesota Average Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.MN-ALL.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.MN-ALL.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Minnesota_Coal_Consumption - 1 yr,response.data[0].value,31449600,0,float,Minnesota Coal Consumption,COAL,https://api.eia.gov//v2//seriesid//SEDS.CLCCB.MN.A,https://api.eia.gov//v2//seriesid//SEDS.CLCCB.MN.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Minnesota_Commercial_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Minnesota Commercial Electricity Price,PRICE,https://api.eia.gov//v2//seriesid//ELEC.PRICE.DC-COM.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.DC-COM.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Minnesota_Industrial_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Minnesota Industrial Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.MN-IND.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.MN-IND.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Minnesota_Nuclear_Energy_Consumption - 1 yr,response.data[0].value,31449600,0,float,Minnesota Nuclear Energy Consumption,"nuclear, energy",https://api.eia.gov//v2//seriesid//SEDS.NUETB.MN.A,https://api.eia.gov//v2//seriesid//SEDS.NUETB.MN.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Minnesota_Petroleum_Liquids_Generation - 1 month,response.data[0].generation,2592000,0,float,Minnesota Petroleum Liquids Generation,PET,https://api.eia.gov//v2//seriesid//ELEC.GEN.PEL-MN-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.PEL-MN-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Minnesota_Renewable_Energy_Consumption - 1 yr,response.data[0].value,31449600,0,float,Minnesota Renewable Energy Consumption,energy,https://api.eia.gov//v2//seriesid//SEDS.RETCB.MN.A,https://api.eia.gov//v2//seriesid//SEDS.RETCB.MN.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Minnesota_Residential_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Minnesota Residential Electricity Price,PRICE,https://api.eia.gov//v2//seriesid//ELEC.PRICE.MN-RES.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.MN-RES.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Minnesota_Residential_Natural_Gas_Consumption - 1 month,response.data[0].value,2592000,0,float,Minnesota Residential Natural Gas Consumption,NG,https://api.eia.gov//v2//seriesid//NG.N3010MN2.M,https://api.eia.gov//v2//seriesid//NG.N3010MN2.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Minnesota_Total_Electricity_Generation - 1 month,response.data[0].generation,2592000,0,float,Minnesota Total Electricity Generation,electricity,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-MN-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-MN-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Minnesota_Total_Electricity_Sales - 1 month,response.data[0].sales,2592000,0,float,Minnesota Total Electricity Sales,SALES,https://api.eia.gov//v2//seriesid//ELEC.SALES.MN-ALL.M,https://api.eia.gov//v2//seriesid//ELEC.SALES.MN-ALL.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Minnesota_Unemployment_Rate - 1 month,observations[-1].value,2592000,0,float,Minnesota Unemployment Rate,unemployment,https://api.stlouisfed.org/fred/series/observations?series_id=MNUR&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=MNUR&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Minnesota_Wind_Generation - 1 month,response.data[0].generation,2592000,0,float,Minnesota Wind Generation,"electricity,wind",https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-MN-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-MN-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mississippi_Average_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Mississippi Average Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.MS-ALL.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.MS-ALL.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mississippi_Coal_Consumption - 1 yr,response.data[0].value,31449600,0,float,Mississippi Coal Consumption,COAL,https://api.eia.gov//v2//seriesid//SEDS.CLCCB.MS.A,https://api.eia.gov//v2//seriesid//SEDS.CLCCB.MS.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mississippi_Commercial_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Mississippi Commercial Electricity Price,PRICE,https://api.eia.gov//v2//seriesid//ELEC.PRICE.DC-COM.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.DC-COM.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mississippi_Field_Production_of_Crude_Oil - 1 month,response.data[0].value,2592000,0,float,Mississippi Field Production of Crude Oil,OIL,https://api.eia.gov//v2//seriesid//PET.MCRFPMS2.M,https://api.eia.gov//v2//seriesid//PET.MCRFPMS2.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mississippi_Industrial_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Mississippi Industrial Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.MS-IND.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.MS-IND.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mississippi_Nuclear_Energy_Consumption - 1 yr,response.data[0].value,31449600,0,float,Mississippi Nuclear Energy Consumption,"nuclear, energy",https://api.eia.gov//v2//seriesid//SEDS.NUETB.MS.A,https://api.eia.gov//v2//seriesid//SEDS.NUETB.MS.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mississippi_Petroleum_Liquids_Generation - 1 month,response.data[0].generation,2592000,0,float,Mississippi Petroleum Liquids Generation,PET,https://api.eia.gov//v2//seriesid//ELEC.GEN.PEL-MS-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.PEL-MS-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mississippi_Petroleum_Products_Production - 1 yr,response.data[0].value,31449600,0,float,Mississippi Petroleum Products Production,PET,https://api.eia.gov//v2//seriesid//SEDS.PAPRB.MS.A,https://api.eia.gov//v2//seriesid//SEDS.PAPRB.MS.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mississippi_Residential_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Mississippi Residential Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.MS-RES.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.MS-RES.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mississippi_Residential_Natural_Gas_Consumption - 1 month,response.data[0].value,2592000,0,float,Mississippi Residential Natural Gas Consumption,NG,https://api.eia.gov//v2//seriesid//NG.N3010MS2.M,https://api.eia.gov//v2//seriesid//NG.N3010MS2.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mississippi_Solar_Generation - 1 month,response.data[0].generation,2592000,0,float,Mississippi Solar Generation,"electricity,solar",https://api.eia.gov//v2//seriesid//ELEC.GEN.SUN-MS-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.SUN-MS-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mississippi_Total_Electric_Power_Generation - 1 month,response.data[0].generation,2592000,0,float,Mississippi Total Electric Power Generation,electricity,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-MS-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-MS-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mississippi_Unemployment_Rate - 1 month,observations[-1].value,2592000,0,float,Mississippi Unemployment Rate,unemployment,https://api.stlouisfed.org/fred/series/observations?series_id=MSUR&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=MSUR&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Missouri_Average_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Missouri Average Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.MO-ALL.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.MO-ALL.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Missouri_Coal_Consumption - 1 yr,response.data[0].value,31449600,0,float,Missouri Coal Consumption,COAL,https://api.eia.gov//v2//seriesid//SEDS.CLCCB.MO.A,https://api.eia.gov//v2//seriesid//SEDS.CLCCB.MO.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Missouri_Commercial_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Missouri Commercial Electricity Price,PRICE,https://api.eia.gov//v2//seriesid//ELEC.PRICE.DC-COM.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.DC-COM.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Missouri_House_Price_Index - 3 months,observations[-1].value,7776000,0,float,Missouri House Price Index,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=MOSTHPI&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=MOSTHPI&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Missouri_Industrial_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Missouri Industrial Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.MO-IND.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.MO-IND.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Missouri_Nuclear_Energy_Consumption - 1 yr,response.data[0].value,31449600,0,float,Missouri Nuclear Energy Consumption,"nuclear, energy",https://api.eia.gov//v2//seriesid//SEDS.NUETB.MO.A,https://api.eia.gov//v2//seriesid//SEDS.NUETB.MO.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Missouri_Petroleum_Liquids_Generation - 1 month,response.data[0].generation,2592000,0,float,Missouri Petroleum Liquids Generation,PET,https://api.eia.gov//v2//seriesid//ELEC.GEN.PEL-MO-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.PEL-MO-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Missouri_Petroleum_Products_Production - 1 yr,response.data[0].value,31449600,0,float,Missouri Petroleum Products Production,PET,https://api.eia.gov//v2//seriesid//SEDS.PAPRB.MO.A,https://api.eia.gov//v2//seriesid//SEDS.PAPRB.MO.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Missouri_Residential_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Missouri Residential Electricity Price,PRICE,https://api.eia.gov//v2//seriesid//ELEC.PRICE.MO-RES.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.MO-RES.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Missouri_Residential_Natural_Gas_Consumption - 1 month,response.data[0].value,2592000,0,float,Missouri Residential Natural Gas Consumption,NG,https://api.eia.gov//v2//seriesid//NG.N3010MO2.M,https://api.eia.gov//v2//seriesid//NG.N3010MO2.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Missouri_Total_Electricity_Generation - 1 month,response.data[0].generation,2592000,0,float,Missouri Total Electricity Generation,electricity,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-MO-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-MO-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Missouri_Total_Electricity_Sales - 1 month,response.data[0].sales,2592000,0,float,Missouri Total Electricity Sales,SALES,https://api.eia.gov//v2//seriesid//ELEC.SALES.MO-ALL.M,https://api.eia.gov//v2//seriesid//ELEC.SALES.MO-ALL.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Missouri_Unemployment_Rate - 1 month,observations[-1].value,2592000,0,float,Missouri Unemployment Rate,unemployment,https://api.stlouisfed.org/fred/series/observations?series_id=MOUR&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=MOUR&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Missouri_Wind_Generation - 1 month,response.data[0].generation,2592000,0,float,Missouri Wind Generation,"electricity,wind",https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-MO-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-MO-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Mobile_cellular_subscriptions - 1 yr,[1][0].value,31449600,0,float,Mobile cellular subscriptions,sub,https://api.worldbank.org/v2/country/WLD/indicator/IT.CEL.SETS.P2?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Monetary_Base - 1 week,observations[-1].value,604800,0,float,Monetary Base,,https://api.stlouisfed.org/fred/series/observations?series_id=BOGMBASEW&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=BOGMBASEW&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
