stream,target,cadence,offset,datatype,description,tags,url,uri,headers,payload,hook
1_Month_AMERIBOR_Term_Structure_of_Interest_Rates - 1 day,observations[-1].value,86400,0,float,1 Month AMERIBOR Term Structure of Interest Rates,interest rate,https://api.stlouisfed.org/fred/series/observations?series_id=AMBOR1M&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=AMBOR1M&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
1_Month_Treasury_Constant_Maturity_Rate - 1 day( 5/week ),observations[-1].value,86400,0,float,1 Month Treasury Constant Maturity Rate,"treasury,daily",https://api.stlouisfed.org/fred/series/observations?series_id=DGS1MO&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DGS1MO&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
1_Week_AMERIBOR_Term_Structure_of_Interest_Rates - 1 day,observations[-1].value,86400,0,float,1 Week AMERIBOR Term Structure of Interest Rates,interest rate,https://api.stlouisfed.org/fred/series/observations?series_id=AMBOR1W&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=AMBOR1W&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
1_year_AMERIBOR_Term_Structure_of_Interest_Rates - 1 day,observations[-1].value,86400,0,float,1 year AMERIBOR Term Structure of Interest Rates,interest rate,https://api.stlouisfed.org/fred/series/observations?series_id=AMBOR1Y&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=AMBOR1Y&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
1_Year_High_Quality_Market_Corporate_Bond_Spot_Rate - 1 month,observations[-1].value,2592000,0,float,1 Year High Quality Market Corporate Bond Spot Rate,bond,https://api.stlouisfed.org/fred/series/observations?series_id=HQMCB1YR&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=HQMCB1YR&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
1_Year_Swap_Rate - 1 day( 5/week ),observations[-1].value,86400,0,float,1 Year Swap Rate,rate,https://api.stlouisfed.org/fred/series/observations?series_id=DSWP1&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DSWP1&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
1_Year_Treasury_Bill_Secondary_Market_Rate_Discount_Basis - 1 day( 5/week ),observations[-1].value,86400,0,float,1 Year Treasury Bill Secondary Market Rate Discount Basis,treasury,https://api.stlouisfed.org/fred/series/observations?series_id=DTB1YR&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DTB1YR&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
1_Year_Treasury_Constant_Maturity_Rate - 1 month,observations[-1].value,2592000,0,float,1 Year Treasury Constant Maturity Rate,"treasury,monthly",https://api.stlouisfed.org/fred/series/observations?series_id=GS1&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=GS1&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
10_Year_Breakeven_Inflation_Rate - 1 day( 5/week ),observations[-1].value,86400,0,float,10 Year Breakeven Inflation Rate,inflation,https://api.stlouisfed.org/fred/series/observations?series_id=T10YIE&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=T10YIE&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
10_Year_Interest_Rate_Swap - 1 day( 5/week ),observations[-1].value,86400,0,float,10 Year Interest Rate Swap,interest rate,https://api.stlouisfed.org/fred/series/observations?series_id=DSWP10&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DSWP10&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
10_Year_Treasury_Constant_Maturity_Minus_2_Year_Treasury_Constant_Maturity - 1 day( 5/week ),observations[-1].value,86400,0,float,10 Year Treasury Constant Maturity Minus 2 Year Treasury Constant Maturity,"treasury,daily",https://api.stlouisfed.org/fred/series/observations?series_id=T10Y2Y&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=T10Y2Y&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
10_Year_Treasury_Constant_Maturity_Minus_3_Month_Treasury_Bill - 1 day( 5/week ),observations[-1].value,86400,0,float,10 Year Treasury Constant Maturity Minus 3 Month Treasury Bill,"treasury,daily",https://api.stlouisfed.org/fred/series/observations?series_id=T10Y3M&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=T10Y3M&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
10_Year_Treasury_Constant_Maturity_Minus_Federal_Funds_Rate - 1 day( 5/week ),observations[-1].value,86400,0,float,10 Year Treasury Constant Maturity Minus Federal Funds Rate,treasury,https://api.stlouisfed.org/fred/series/observations?series_id=T10YFF&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=T10YFF&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
10_Year_Treasury_Constant_Maturity_Rate - 1 day( 5/week ),observations[-1].value,86400,0,float,10 Year Treasury Constant Maturity Rate,"treasury,daily",https://api.stlouisfed.org/fred/series/observations?series_id=DGS10&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DGS10&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
10_Year_Treasury_Inflation_Indexed_Security - 1 day( 5/week ),observations[-1].value,86400,0,float,10 Year Treasury Inflation Indexed Security,"treasury,daily",https://api.stlouisfed.org/fred/series/observations?series_id=DFII10&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DFII10&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
15_Year_Fixed_Rate_Mortgage - 1 week,observations[-1].value,604800,0,float,15 Year Fixed Rate Mortgage,mortgage,https://api.stlouisfed.org/fred/series/observations?series_id=MORTGAGE15US&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=MORTGAGE15US&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
180_Day_Average_SOFR - 1 day( 5/week ),observations[-1].value,86400,0,float,180 Day Average SOFR,SOFR,https://api.stlouisfed.org/fred/series/observations?series_id=SOFR180DAYAVG&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=SOFR180DAYAVG&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
2_year_AMERIBOR_Term_Structure_of_Interest_Rates - 1 day,observations[-1].value,86400,0,float,2 year AMERIBOR Term Structure of Interest Rates,interest rate,https://api.stlouisfed.org/fred/series/observations?series_id=AMBOR2Y&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=AMBOR2Y&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
2_Year_Interest_Rate_Swap - 1 day( 5/week ),observations[-1].value,86400,0,float,2 Year Interest Rate Swap,interest rate,https://api.stlouisfed.org/fred/series/observations?series_id=DSWP2&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DSWP2&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
2_Year_Treasury_Constant_Maturity_Rate - 1 day( 5/week ),observations[-1].value,86400,0,float,2 Year Treasury Constant Maturity Rate,"treasury,daily",https://api.stlouisfed.org/fred/series/observations?series_id=DGS2&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DGS2&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
2_Year_Treasury_Constant_Maturity_Rate - 1 month,observations[-1].value,2592000,0,float,2 Year Treasury Constant Maturity Rate,"treasury,monthly",https://api.stlouisfed.org/fred/series/observations?series_id=GS2&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=GS2&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
20_Year_Treasury_Constant_Maturity_Rate - 1 day( 5/week ),observations[-1].value,86400,0,float,20 Year Treasury Constant Maturity Rate,"treasury,daily",https://api.stlouisfed.org/fred/series/observations?series_id=DGS20&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DGS20&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
20_Year_Treasury_Constant_Maturity_Rate - 1 month,observations[-1].value,2592000,0,float,20 Year Treasury Constant Maturity Rate,"treasury,monthly",https://api.stlouisfed.org/fred/series/observations?series_id=GS10&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=GS10&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
20_Year_Treasury_Inflation_Indexed_Security_Constant_Maturity - 1 day( 5/week ),observations[-1].value,86400,0,float,20 Year Treasury Inflation Indexed Security Constant Maturity,"treasury,daily",https://api.stlouisfed.org/fred/series/observations?series_id=DFII20&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DFII20&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
3_Month_AMERIBOR_Term_Structure_of_Interest_Rates - 1 day,observations[-1].value,86400,0,float,3 Month AMERIBOR Term Structure of Interest Rates,interest rate,https://api.stlouisfed.org/fred/series/observations?series_id=AMBOR3M&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=AMBOR3M&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
3_Month_Commercial_Paper_Minus_Federal_Funds_Rate - 1 day( 5/week ),observations[-1].value,86400,0,float,3 Month Commercial Paper Minus Federal Funds Rate,rate,https://api.stlouisfed.org/fred/series/observations?series_id=CPFF&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=CPFF&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
3_Month_Treasury_Bill_Rate - 1 week,observations[-1].value,604800,0,float,3 Month Treasury Bill Rate,"treasury,weekly",https://api.stlouisfed.org/fred/series/observations?series_id=DTB3&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DTB3&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
3_Month_Treasury_Bill_Secondary_Market_Rate - 1 month,observations[-1].value,2592000,0,float,3 Month Treasury Bill Secondary Market Rate,"treasury,monthly",https://api.stlouisfed.org/fred/series/observations?series_id=TB3MS&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=TB3MS&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
3_Month_Treasury_Constant_Maturity_Rate - 1 day( 5/week ),observations[-1].value,86400,0,float,3 Month Treasury Constant Maturity Rate,"treasury,daily",https://api.stlouisfed.org/fred/series/observations?series_id=DGS3MO&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DGS3MO&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
3_Year_Interest_Rate_Swap - 1 day( 5/week ),observations[-1].value,86400,0,float,3 Year Interest Rate Swap,interest rate,https://api.stlouisfed.org/fred/series/observations?series_id=DSWP3&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DSWP3&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
