stream,target,cadence,offset,datatype,description,tags,url,uri,headers,payload,hook
Weekly_Economic_Index - 1 week,observations[-1].value,604800,0,float,Weekly Economic Index,economy,https://api.stlouisfed.org/fred/series/observations?series_id=WEI&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WEI&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Weekly_Reserve_Money - 1 week,observations[-1].value,604800,0,float,Weekly Reserve Money,capital,https://api.stlouisfed.org/fred/series/observations?series_id=WRMFSL&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WRMFSL&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Weekly_US_No_2_Diesel_Retail_Prices - 1 week,observations[-1].value,604800,0,float,Weekly US No 2 Diesel Retail Prices,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=GASDESW&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=GASDESW&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Wells_Fargo_Housing_Market_Index - 1 day,observations[-1].value,86400,0,float,Wells Fargo Housing Market Index,house,https://api.stlouisfed.org/fred/series/observations?series_id=IHLCHGUS&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLCHGUS&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
West_Coast_All_Grades_Conventional_Retail_Gasoline_Prices - 1 month,response.data[0].value,2592000,0,float,West Coast All Grades Conventional Retail Gasoline Prices,PRICE,https://api.eia.gov//v2//seriesid//PET.EMM_EPM0_PTE_SWA_DPG.M,https://api.eia.gov//v2//seriesid//PET.EMM_EPM0_PTE_SWA_DPG.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
West_Virginia_Average_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,West Virginia Average Electricity Price,PRICE,https://api.eia.gov//v2//seriesid//ELEC.PRICE.WV-ALL.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.WV-ALL.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
West_Virginia_Coal_Consumption - 1 yr,response.data[0].value,31449600,0,float,West Virginia Coal Consumption,COAL,https://api.eia.gov//v2//seriesid//SEDS.CLCCB.WV.A,https://api.eia.gov//v2//seriesid//SEDS.CLCCB.WV.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
West_Virginia_Coal_Production - 1 yr,response.data[0].value,31449600,0,float,West Virginia Coal Production,COAL,https://api.eia.gov//v2//seriesid//SEDS.CLPRB.WV.A,https://api.eia.gov//v2//seriesid//SEDS.CLPRB.WV.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
West_Virginia_Commercial_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,West Virginia Commercial Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.WV-COM.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.WV-COM.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
West_Virginia_Field_Production_of_Crude_Oil - 1 month,response.data[0].value,2592000,0,float,West Virginia Field Production of Crude Oil,OIL,https://api.eia.gov//v2//seriesid//PET.MCRFPWV2.M,https://api.eia.gov//v2//seriesid//PET.MCRFPWV2.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
West_Virginia_Industrial_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,West Virginia Industrial Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.WV-IND.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.WV-IND.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
West_Virginia_Petroleum_Liquids_Generation - 1 month,response.data[0].generation,2592000,0,float,West Virginia Petroleum Liquids Generation,PET,https://api.eia.gov//v2//seriesid//ELEC.GEN.PEL-WV-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.PEL-WV-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
West_Virginia_Petroleum_Products_Production - 1 yr,response.data[0].value,31449600,0,float,West Virginia Petroleum Products Production,PET,https://api.eia.gov//v2//seriesid//SEDS.PAPRB.WV.A,https://api.eia.gov//v2//seriesid//SEDS.PAPRB.WV.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
West_Virginia_Residential_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,West Virginia Residential Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.WV-RES.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.WV-RES.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
West_Virginia_Residential_Natural_Gas_Consumption - 1 month,response.data[0].value,2592000,0,float,West Virginia Residential Natural Gas Consumption,NG,https://api.eia.gov//v2//seriesid//NG.N3010WV2.M,https://api.eia.gov//v2//seriesid//NG.N3010WV2.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
West_Virginia_Total_Electric_Power_Generation - 1 month,response.data[0].generation,2592000,0,float,West Virginia Total Electric Power Generation,electricity,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-WV-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-WV-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
West_Virginia_Unemployment_Rate - 1 month,observations[-1].value,2592000,0,float,West Virginia Unemployment Rate,unemployment,https://api.stlouisfed.org/fred/series/observations?series_id=WVUR&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WVUR&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Wholesale_Inventories_to_Sales_Ratio - 1 month,observations[-1].value,2592000,0,float,Wholesale Inventories to Sales Ratio,SALES,https://api.stlouisfed.org/fred/series/observations?series_id=WHLSLRIRSA&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WHLSLRIRSA&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Wholesale_Trade - 1 month,observations[-1].value,2592000,0,float,Wholesale Trade,trade,https://api.stlouisfed.org/fred/series/observations?series_id=WHLSLRIMSA&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WHLSLRIMSA&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Wholesale_Trade_Employment - 1 month,observations[-1].value,2592000,0,float,Wholesale Trade Employment,employment,https://api.stlouisfed.org/fred/series/observations?series_id=USTRADE&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=USTRADE&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Wind_Generation - 1 month,response.data[0].generation,2592000,0,float,US Wind Generation,"electricity,wind",https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-US-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-US-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Wisconsin_Average_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Wisconsin Average Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.WI-ALL.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.WI-ALL.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Wisconsin_Biomass_Generation - 1 month,response.data[0].generation,2592000,0,float,Wisconsin Biomass Generation,"electricity,biomass",https://api.eia.gov//v2//seriesid//ELEC.GEN.BIO-WI-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.BIO-WI-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Wisconsin_Coal_Consumption - 1 yr,response.data[0].value,31449600,0,float,Wisconsin Coal Consumption,COAL,https://api.eia.gov//v2//seriesid//SEDS.CLCCB.WI.A,https://api.eia.gov//v2//seriesid//SEDS.CLCCB.WI.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
