stream,target,cadence,offset,datatype,description,tags,url,uri,headers,payload,hook
GNI_Atlas_method - 1 yr,[1][0].value,31449600,0,float,GNI Atlas method,GNI,https://api.worldbank.org/v2/country/WLD/indicator/NY.GNP.ATLS.CD?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Gold_ETF - 1 week,,604800,0,float,"Gold ETF Daily Prices (open, high, low, close) and Volumes",price,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&symbol=GLD&outputsize=full,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&symbol=GLD&outputsize=full&apikey=YOUR_API_KEY,,,"def postRequestHook(response): return float(sorted(response.json()['Time Series (Daily)'].items(), key=lambda x: __import__('datetime').datetime.strptime(x[0], '%Y-%m-%d'))[-1][1]['1. open']) if response.text != '' and response.json()['Time Series (Daily)'] else None"
Goods_Exports - 1 month,observations[-1].value,2592000,0,float,Goods Exports,export,https://api.stlouisfed.org/fred/series/observations?series_id=BOPGEXP&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=BOPGEXP&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Goods_Imports - 1 month,observations[-1].value,2592000,0,float,Goods Imports,imports,https://api.stlouisfed.org/fred/series/observations?series_id=BOPGIMP&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=BOPGIMP&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Government_consumption - 1 yr,[1][0].value,31449600,0,float,Government consumption,government,https://api.worldbank.org/v2/country/WLD/indicator/NE.CON.GOVT.ZS?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Government_Consumption_Expenditures - 3 months,observations[-1].value,7776000,0,float,Government Consumption Expenditures,government,https://api.stlouisfed.org/fred/series/observations?series_id=GCEC1&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=GCEC1&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Government_Consumption_Expenditures_State_and_Local - 3 months,observations[-1].value,7776000,0,float,Government Consumption Expenditures State and Local,government,https://api.stlouisfed.org/fred/series/observations?series_id=W825RC1Q027SBEA&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=W825RC1Q027SBEA&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Government_expenditure_on_education_total - 1 yr,[1][0].value,31449600,0,float,Government expenditure on education total,government,https://api.worldbank.org/v2/country/WLD/indicator/SE.XPD.TOTL.GD.ZS?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Government_Investment - 1 month,observations[-1].value,2592000,0,float,Government Investment,government,https://api.stlouisfed.org/fred/series/observations?series_id=W068RCQ027SBEA&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=W068RCQ027SBEA&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Gross_capital_formation(% of GDP) - 1 yr,[1][0].value,31449600,0,float,Gross capital formation(% of GDP),GDP,https://api.worldbank.org/v2/country/WLD/indicator/NE.GDI.FTOT.ZS?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Gross_Domestic_Product - 3 months,observations[-1].value,7776000,0,float,Gross Domestic Product,GDP,https://api.stlouisfed.org/fred/series/observations?series_id=GDP&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=GDP&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Gross_Domestic_Product_by_Industry_Private_Industries_Manufacturing - 3 months,observations[-1].value,7776000,0,float,Gross Domestic Product by Industry Private Industries Manufacturing,GDP,https://api.stlouisfed.org/fred/series/observations?series_id=A261RX1Q020SBEA&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=A261RX1Q020SBEA&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Gross_domestic_savings - 1 yr,[1][0].value,31449600,0,float,Gross domestic savings,GDS,https://api.worldbank.org/v2/country/WLD/indicator/NY.GDS.TOTL.ZS?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Gross_Government_Saving - 3 months,observations[-1].value,7776000,0,float,Gross Government Saving,government,https://api.stlouisfed.org/fred/series/observations?series_id=GGSAVE&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=GGSAVE&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Gross_National_Product - 3 months,observations[-1].value,7776000,0,float,Gross National Product,GNP,https://api.stlouisfed.org/fred/series/observations?series_id=GNP&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=GNP&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Gross_National_Product_Implicit_Price_Deflator - 3 months,observations[-1].value,7776000,0,float,Gross National Product Implicit Price Deflator,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=GNPDEF&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=GNPDEF&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Gross_Private_Domestic_Investment - 3 months,observations[-1].value,7776000,0,float,Gross Private Domestic Investment,,https://api.stlouisfed.org/fred/series/observations?series_id=GPDIC1&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=GPDIC1&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Gross_savings - 1 yr,[1][0].value,31449600,0,float,Gross savings,savings,https://api.worldbank.org/v2/country/WLD/indicator/EG.FEC.RNEW.ZS?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
gross_savings(% of GNI) - 1 yr,[1][0].value,31449600,0,float,gross savings(% of GNI),GNI,https://api.worldbank.org/v2/country/WLD/indicator/NY.ADJ.ICTR.GN.ZS?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Gross_value_added_at_factor_cost - 1 yr,[1][0].value,31449600,0,float,Gross value added at factor cost,,https://api.worldbank.org/v2/country/WLD/indicator/NY.GDP.FCST.CD?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Hawaii_Average_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Hawaii Average Electricity Price,PRICE,https://api.eia.gov//v2//seriesid//ELEC.PRICE.HI-ALL.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.HI-ALL.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""price""]) if response.text != '' else None"
Hawaii_Biomass_Generation - 1 month,response.data[0].generation,2592000,0,float,Hawaii Biomass Generation,"electricity,biomass",https://api.eia.gov//v2//seriesid//ELEC.GEN.BIO-HI-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.BIO-HI-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""generation""]) if response.text != '' else None"
Hawaii_Coal_Generation - 1 month,response.data[0].generation,2592000,0,float,Hawaii Coal Generation,COAL,https://api.eia.gov//v2//seriesid//ELEC.GEN.COW-HI-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.COW-HI-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""generation""]) if response.text != '' else None"
Hawaii_Commercial_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Hawaii Commercial Electricity Price,PRICE,https://api.eia.gov//v2//seriesid//ELEC.PRICE.DC-COM.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.DC-COM.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""price""]) if response.text != '' else None"
Hawaii_Geothermal_Generation - 1 month,response.data[0].generation,2592000,0,float,Hawaii Geothermal Generation,"electricity,geothermal",https://api.eia.gov//v2//seriesid//ELEC.GEN.GEO-HI-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.GEO-HI-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""generation""]) if response.text != '' else None"
Hawaii_Industrial_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Hawaii Industrial Electricity Price,PRICE,https://api.eia.gov//v2//seriesid//ELEC.PRICE.HI-IND.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.HI-IND.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""price""]) if response.text != '' else None"
Hawaii_Petroleum_Liquids_Generation - 1 month,response.data[0].generation,2592000,0,float,Hawaii Petroleum Liquids Generation,PET,https://api.eia.gov//v2//seriesid//ELEC.GEN.PEL-HI-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.PEL-HI-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""generation""]) if response.text != '' else None"
Hawaii_Renewable_Energy_Consumption - 1 yr,response.data[0].value,31449600,0,float,Hawaii Renewable Energy Consumption,energy,https://api.eia.gov//v2//seriesid//SEDS.RETCB.HI.A,https://api.eia.gov//v2//seriesid//SEDS.RETCB.HI.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""value""]) if response.text != '' else None"
Hawaii_Residential_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Hawaii Residential Electricity Price,PRICE,https://api.eia.gov//v2//seriesid//ELEC.PRICE.HI-RES.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.HI-RES.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""price""]) if response.text != '' else None"
Hawaii_Residential_Electricity_Sales - 1 month,response.data[0].sales,2592000,0,float,Hawaii Residential Electricity Sales,SALES,https://api.eia.gov//v2//seriesid//ELEC.SALES.HI-RES.M,https://api.eia.gov//v2//seriesid//ELEC.SALES.HI-RES.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""sales""]) if response.text != '' else None"
Hawaii_Residential_Natural_Gas_Consumption - 1 month,response.data[0].value,2592000,0,float,Hawaii Residential Natural Gas Consumption,NG,https://api.eia.gov//v2//seriesid//NG.N3010HI2.M,https://api.eia.gov//v2//seriesid//NG.N3010HI2.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""value""]) if response.text != '' else None"
Hawaii_Total_Electricity_Generation - 1 month,response.data[0].generation,2592000,0,float,Hawaii Total Electricity Generation,electricity,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-HI-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-HI-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""generation""]) if response.text != '' else None"
