stream,target,cadence,offset,datatype,description,tags,url,uri,headers,payload,hook
Florida_Residential_Electricity_Sales - 1 month,response.data[0].sales,2592000,0,float,Florida Residential Electricity Sales,SALES,https://api.eia.gov//v2//seriesid//ELEC.SALES.FL-RES.M,https://api.eia.gov//v2//seriesid//ELEC.SALES.FL-RES.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""sales""]) if response.text != '' else None"
Florida_Residential_Natural_Gas_Consumption - 1 month,response.data[0].value,2592000,0,float,Florida Residential Natural Gas Consumption,NG,https://api.eia.gov//v2//seriesid//NG.N3010FL2.M,https://api.eia.gov//v2//seriesid//NG.N3010FL2.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""value""]) if response.text != '' else None"
Florida_Total_Energy_Consumption - 1 yr,response.data[0].value,31449600,0,float,Florida Total Energy Consumption,energy,https://api.eia.gov//v2//seriesid//SEDS.TETCB.FL.A,https://api.eia.gov//v2//seriesid//SEDS.TETCB.FL.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""value""]) if response.text != '' else None"
Florida_Total_Generation - 1 month,response.data[0].generation,2592000,0,float,Florida Total Generation,electricity,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-FL-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-FL-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""response""][""data""][0][""generation""]) if response.text != '' else None"
Florida_Unemployment_Rate - 1 month,observations[-1].value,2592000,0,float,Florida Unemployment Rate,unemployment,https://api.stlouisfed.org/fred/series/observations?series_id=FLUR&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=FLUR&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Food_at_Home_Price_Index - 1 month,observations[-1].value,2592000,0,float,Food at Home Price Index,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=CUSR0000SAF11&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=CUSR0000SAF11&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Food_exports - 1 yr,[1][0].value,31449600,0,float,Food exports,food,https://api.worldbank.org/v2/country/WLD/indicator/TX.VAL.FOOD.ZS.UN?format=json,,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[1][0][""value""]) if response.text != '' else None"
Food_imports - 1 yr,[1][0].value,31449600,0,float,Food imports,food,https://api.worldbank.org/v2/country/WLD/indicator/TM.VAL.FOOD.ZS.UN?format=json,,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[1][0][""value""]) if response.text != '' else None"
Food_Price_Index - 1 month,observations[-1].value,2592000,0,float,Food Price Index,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=WPUFD4111&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WPUFD4111&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Food_Price_Index_Change - 1 yr,observations[-1].value,31449600,0,float,Food Price Index Change,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=FPCPITOTLZGUSA&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=FPCPITOTLZGUSA&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,"def postRequestHook(response: 'requests.Response'): return float(response.json()[""observations""][-1][""value""]) if response.text != '' else None"
Food_production_index - 1 yr,[1][0].value,31449600,0,float,Food production index,food,https://api.worldbank.org/v2/country/WLD/indicator/AG.PRD.FOOD.XD?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Foreign_direct_investment_net_inflows - 1 yr,[1][0].value,31449600,0,float,Foreign direct investment net inflows,,https://api.worldbank.org/v2/country/WLD/indicator/BX.KLT.DINV.WD.GD.ZS?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
Forest_Area - 1 yr,[1][0].value,31449600,0,float,Forest Area,Forest,https://api.worldbank.org/v2/country/WLD/indicator/AG.LND.FRST.ZS?format=json,,,,"def postRequestHook(response): return None if response.text == '' else next((float(item['value']) for item in reversed(sorted(response.json()[1], key=lambda x: x['date'])) if item['value'] is not None and str(item['value']).replace('.','').replace('-','').isdigit()), None)"
