stream,target,cadence,offset,datatype,description,tags,url,uri,headers,payload,hook
South_Dakota_Unemployment_Rate - 1 month,observations[-1].value,2592000,0,float,South Dakota Unemployment Rate,unemployment,https://api.stlouisfed.org/fred/series/observations?series_id=SDUR&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=SDUR&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
South_Dakota_Wind_Generation - 1 month,response.data[0].generation,2592000,0,float,South Dakota Wind Generation,"electricity,wind",https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-SD-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-SD-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
St.Louis_Adjusted_Monetary_Base - 1 month,observations[-1].value,2592000,0,float,St.Louis Adjusted Monetary Base,fed,https://api.stlouisfed.org/fred/series/observations?series_id=AMBSL&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=AMBSL&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
St.Louis_Fed_Financial_Stress_Index - 1 week,observations[-1].value,604800,0,float,St.Louis Fed Financial Stress Index,fed,https://api.stlouisfed.org/fred/series/observations?series_id=STLFSI&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=STLFSI&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
St.Louis_Fed_Financial_Stress_Index_v2 - 1 week,observations[-1].value,604800,0,float,St.Louis Fed Financial Stress Index v2,fed,https://api.stlouisfed.org/fred/series/observations?series_id=STLFSI2&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=STLFSI2&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
St.Louis_Fed_Financial_Stress_Index_v3 - 1 week,observations[-1].value,604800,0,float,St.Louis Fed Financial Stress Index v3,fed,https://api.stlouisfed.org/fred/series/observations?series_id=STLFSI3&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=STLFSI3&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
St.Louis_Fed_Financial_Stress_Index_v4 - 1 week,observations[-1].value,604800,0,float,St.Louis Fed Financial Stress Index v4,fed,https://api.stlouisfed.org/fred/series/observations?series_id=STLFSI4&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=STLFSI4&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
State_&_Local_Government_Current_Expenditures - 3 months,observations[-1].value,7776000,0,float,State & Local Government Current Expenditures,government,https://api.stlouisfed.org/fred/series/observations?series_id=SLOAS&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=SLOAS&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
State_and_Local_Government_Consumption_Expenditures_and_Gross_Investment - 3 months,observations[-1].value,7776000,0,float,State and Local Government Consumption Expenditures and Gross Investment,government,https://api.stlouisfed.org/fred/series/observations?series_id=SLCEC1&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=SLCEC1&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
State_and_local_government_current_tax_receipts - 3 months,observations[-1].value,7776000,0,float,State and local government current tax receipts,government,https://api.stlouisfed.org/fred/series/observations?series_id=W011RC1Q027SBEA&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=W011RC1Q027SBEA&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
State_and_Local_Government_Debt_Outstanding - 3 months,observations[-1].value,7776000,0,float,State and Local Government Debt Outstanding,government,https://api.stlouisfed.org/fred/series/observations?series_id=SLGSDODNS&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=SLGSDODNS&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Sticky_Price_Consumer_Price_Index - 1 month,observations[-1].value,2592000,0,float,Sticky Price Consumer Price Index,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=STICKCPIM157SFRBATL&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=STICKCPIM157SFRBATL&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
