stream,target,cadence,offset,datatype,description,tags,url,uri,headers,payload,hook
Maryland_Residential_Electricity_Sales - 1 month,response.data[0].sales,2592000,0,float,Maryland Residential Electricity Sales,SALES,https://api.eia.gov//v2//seriesid//ELEC.SALES.MD-RES.M,https://api.eia.gov//v2//seriesid//ELEC.SALES.MD-RES.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Maryland_Residential_Natural_Gas_Consumption - 1 month,response.data[0].value,2592000,0,float,Maryland Residential Natural Gas Consumption,NG,https://api.eia.gov//v2//seriesid//NG.N3010MD2.M,https://api.eia.gov//v2//seriesid//NG.N3010MD2.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Maryland_Total_Electricity_Sales - 1 month,response.data[0].sales,2592000,0,float,Maryland Total Electricity Sales,SALES,https://api.eia.gov//v2//seriesid//ELEC.SALES.MD-ALL.M,https://api.eia.gov//v2//seriesid//ELEC.SALES.MD-ALL.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Maryland_Unemployment_Rate - 1 month,observations[-1].value,2592000,0,float,Maryland Unemployment Rate,unemployment,https://api.stlouisfed.org/fred/series/observations?series_id=MDUR&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=MDUR&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Massachusetts_Average_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Massachusetts Average Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.MA-ALL.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.MA-ALL.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Massachusetts_Coal_Consumption - 1 yr,response.data[0].value,31449600,0,float,Massachusetts Coal Consumption,COAL,https://api.eia.gov//v2//seriesid//SEDS.CLCCB.MA.A,https://api.eia.gov//v2//seriesid//SEDS.CLCCB.MA.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Massachusetts_Coal_Generation - 1 month,response.data[0].generation,2592000,0,float,Massachusetts Coal Generation,COAL,https://api.eia.gov//v2//seriesid//ELEC.GEN.COW-MA-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.COW-MA-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Massachusetts_Commercial_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Massachusetts Commercial Electricity Price,PRICE,https://api.eia.gov//v2//seriesid//ELEC.PRICE.DC-COM.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.DC-COM.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Massachusetts_Commercial_Natural_Gas_Consumption - 1 month,response.data[0].value,2592000,0,float,Michigan Commercial Natural Gas Consumption,NG,https://api.eia.gov//v2//seriesid//NG.N3020MA2.M,https://api.eia.gov//v2//seriesid//NG.N3020MA2.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Massachusetts_Electric_Generation - 1 month,response.data[0].generation,2592000,0,float,Massachusetts Electric Generation,electricity,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-MA-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.ALL-MA-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
