stream,target,cadence,offset,datatype,description,tags,url,uri,headers,payload,hook
Ultra_Low_Sulfur_No_2_Diesel_Fuel_Prices_New_York_Harbor - 1 day( 5/week ),observations[-1].value,86400,0,float,Ultra Low Sulfur No 2 Diesel Fuel Prices New York Harbor,fuel,https://api.stlouisfed.org/fred/series/observations?series_id=DDFUELNYH&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DDFUELNYH&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
OECD_based_Recession_Indicators_for_Canada_from_the_Peak_through_the_Trough - 1 day( 5/week ),observations[-1].value,86400,0,float,OECD based Recession Indicators for Canada from the Peak through the Trough,OECD,https://api.stlouisfed.org/fred/series/observations?series_id=CANRECDM&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=CANRECDM&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
ICE_BofA_High_Yield_US_Emerging_Markets_Liquid_Corporate_Plus_Index_Option_Adjusted_Spread - 1 day( 5/week ),observations[-1].value,86400,0,float,ICE BofA High Yield US Emerging Markets Liquid Corporate Plus Index Option Adjusted Spread,ICE BofA,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLEMHYHYLCRPIUSOAS&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLEMHYHYLCRPIUSOAS&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Project_Management_Job_Postings_on_Indeed_in_the_United_States - 1 day,observations[-1].value,86400,0,float,Project Management Job Postings on Indeed in the United States,employment,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPPROJMANA&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPPROJMANA&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Euro_Short_Term_Rate_Total_Volume - 1 day( 5/week ),observations[-1].value,86400,0,float,Euro Short Term Rate Total Volume,rate,https://api.stlouisfed.org/fred/series/observations?series_id=ECBESTRTOTVOL&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=ECBESTRTOTVOL&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
CBOE_Equity_VIX_on_Amazon - 1 day( 5/week ),observations[-1].value,86400,0,float,CBOE Equity VIX on Amazon,CBOE,https://api.stlouisfed.org/fred/series/observations?series_id=VXAZNCLS&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=VXAZNCLS&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
CBOE_China_ETF_Volatility_Index - 1 day( 5/week ),observations[-1].value,86400,0,float,CBOE China ETF Volatility Index,CBOE,https://api.stlouisfed.org/fred/series/observations?series_id=VXFXICLS&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=VXFXICLS&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Moodys_Yield_on_Seasoned_Corporate_Bonds_All_Industries_BAA - 1 day( 5/week ),observations[-1].value,86400,0,float,Moodys Yield on Seasoned Corporate Bonds All Industries BAA,yield,https://api.stlouisfed.org/fred/series/observations?series_id=RIMLPBAARNB&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=RIMLPBAARNB&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
ICE_BofA_BBB_Emerging_Markets_Corporate_Plus_Index_Option_Adjusted_Spread - 1 day( 5/week ),observations[-1].value,86400,0,float,ICE BofA BBB Emerging Markets Corporate Plus Index Option Adjusted Spread,ICE BofA,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLEM2BRRBBBCRPIOAS&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLEM2BRRBBBCRPIOAS&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Software_Development_Job_Postings_on_Indeed_in_Australia - 1 day,observations[-1].value,86400,0,float,Software Development Job Postings on Indeed in Australia,employment,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXAUTPSOFTDEVE&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXAUTPSOFTDEVE&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
ICE_BofA_US_Emerging_Markets_Liquid_Corporate_Plus_Index_Total_Return_Index_Value - 1 day( 5/week ),observations[-1].value,86400,0,float,ICE BofA US Emerging Markets Liquid Corporate Plus Index Total Return Index Value,ICE BofA,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLEMCLLCRPIUSTRIV&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLEMCLLCRPIUSTRIV&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Overnight_Bank_Funding_Rate_1st_Percentile - 1 day( 5/week ),observations[-1].value,86400,0,float,Overnight Bank Funding Rate 1st Percentile,banks,https://api.stlouisfed.org/fred/series/observations?series_id=OBFR1&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=OBFR1&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
ICE_BofA_Latin_America_Emerging_Markets_Corporate_Plus_Index_Option_Adjusted_Spread - 1 day( 5/week ),observations[-1].value,86400,0,float,ICE BofA Latin America Emerging Markets Corporate Plus Index Option Adjusted Spread,ICE BofA,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLEMRLCRPILAOAS&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLEMRLCRPILAOAS&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
ICE_BofA_Latin_America_Emerging_Markets_Corporate_Plus_Index_Effective_Yield - 1 day( 5/week ),observations[-1].value,86400,0,float,ICE BofA Latin America Emerging Markets Corporate Plus Index Effective Yield,ICE BofA,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLEMRLCRPILAEY&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLEMRLCRPILAEY&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Job_Postings_on_Indeed_in_Germany - 1 day,observations[-1].value,86400,0,float,Job Postings on Indeed in Germany,employment,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXDE&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXDE&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Conventional_Gasoline_Prices_New_York_Harbor_Regular - 1 day( 5/week ),observations[-1].value,86400,0,float,Conventional Gasoline Prices New York Harbor Regular,gasoline,https://api.stlouisfed.org/fred/series/observations?series_id=DGASNYH&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DGASNYH&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Daily_Sterling_Overnight_Index_Average_Rate_10th_percentile - 1 day( 5/week ),observations[-1].value,86400,0,float,Daily Sterling Overnight Index Average Rate 10th percentile,rate,https://api.stlouisfed.org/fred/series/observations?series_id=IUDZLS6&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IUDZLS6&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
High_Value_of_the_Federal_Funds_Rate_for_the_Indicated_Date_Published_in_The_New_York_Herald_Tribune - 1 day,observations[-1].value,86400,0,float,High Value of the Federal Funds Rate for the Indicated Date Published in The New York Herald Tribune,rate,https://api.stlouisfed.org/fred/series/observations?series_id=FFHTHIGH&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=FFHTHIGH&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
7_Day_AA_Financial_Commercial_Paper_Interest_Rate - 1 day( 5/week ),observations[-1].value,86400,0,float,7 Day AA Financial Commercial Paper Interest Rate,rate,https://api.stlouisfed.org/fred/series/observations?series_id=RIFSPPFAAD07NB&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=RIFSPPFAAD07NB&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Daily_Sterling_Overnight_Index_Average_Rate_75th_percentile - 1 day( 5/week ),observations[-1].value,86400,0,float,Daily Sterling Overnight Index Average Rate 75th percentile,rate,https://api.stlouisfed.org/fred/series/observations?series_id=IUDZLS8&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IUDZLS8&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
30_Day_AA_Asset_Backed_Commercial_Paper_Interest_Rate - 1 day( 5/week ),observations[-1].value,86400,0,float,30 Day AA Asset Backed Commercial Paper Interest Rate,rate,https://api.stlouisfed.org/fred/series/observations?series_id=RIFSPPAAAD30NB&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=RIFSPPAAAD30NB&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
