stream,target,cadence,offset,datatype,description,tags,url,uri,headers,payload,hook
Wyoming_Unemployment_Rate - 1 month,observations[-1].value,2592000,0,float,Wyoming Unemployment Rate,unemployment,https://api.stlouisfed.org/fred/series/observations?series_id=WYUR&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WYUR&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Wyoming_Wind_Generation - 1 month,response.data[0].generation,2592000,0,float,Wyoming Wind Generation,"electricity,wind",https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-WY-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-WY-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
"ZHVI_All_Homes_(SFR, Condo_or_Co-op) - 1 month",datatable.data[3],2592000,0,float,"ZHVI All Homes (SFR, Condo/Co-op)",ZHVI,https://data.nasdaq.com/api/v3/datatables/ZILLOW/DATA?indicator_id=ZALL,https://data.nasdaq.com/api/v3/datatables/ZILLOW/DATA?indicator_id=ZALL&api_key=zjsgHD-jbXKBVezYzyqT,,,
ZHVI_All_Homes-Top_Tier - 1 month,datatable.data[3],2592000,0,float,ZHVI All Homes-Top Tier,ZHVI,https://data.nasdaq.com/api/v3/datatables/ZILLOW/DATA?indicator_id=ZATT,https://data.nasdaq.com/api/v3/datatables/ZILLOW/DATA?indicator_id=ZATT&api_key=zjsgHD-jbXKBVezYzyqT,,,
ZHVI_Condo_or_Co-op - 1 month,datatable.data[3],2592000,0,float,ZHVI Condo/Co-op        ,ZHVI,https://data.nasdaq.com/api/v3/datatables/ZILLOW/DATA?indicator_id=ZCON,https://data.nasdaq.com/api/v3/datatables/ZILLOW/DATA?indicator_id=ZCON&api_key=zjsgHD-jbXKBVezYzyqT,,,
ZHVI_Single_Family_Homes - 1 month,datatable.data[3],2592000,0,float,ZHVI Single-Family Homes,ZHVI,https://data.nasdaq.com/api/v3/datatables/ZILLOW/DATA?indicator_id=ZSFH,https://data.nasdaq.com/api/v3/datatables/ZILLOW/DATA?indicator_id=ZSFH&api_key=zjsgHD-jbXKBVezYzyqT,,,
30_Year_Fixed_Rate_USDA_Mortgage_Index - 1 day( 5/week ),observations[-1].value,86400,0,float,30 Year Fixed Rate USDA Mortgage Index,mortgage,https://api.stlouisfed.org/fred/series/observations?series_id=OBMMIUSDA30YF&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=OBMMIUSDA30YF&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Banking_and_Finance_Job_Postings_on_Indeed_in_the_United_States - 1 day,observations[-1].value,86400,0,float,Banking and Finance Job Postings on Indeed in the United States,employment,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPBAFI&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPBAFI&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Taiwan_Dollars_to_US_Dollar_Spot_Exchange_Rate - 1 day( 5/week ),observations[-1].value,86400,0,float,Taiwan Dollars to US Dollar Spot Exchange Rate,exchange rate,https://api.stlouisfed.org/fred/series/observations?series_id=DEXTAUS&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DEXTAUS&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
ICE_BofA_US_High_Yield_Index_Semi_Annual_Yield_to_Worst - 1 day( 5/week ),observations[-1].value,86400,0,float,ICE BofA US High Yield Index Semi Annual Yield to Worst,ICE BofA,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLH0A0HYM2SYTW&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLH0A0HYM2SYTW&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
