stream,target,cadence,offset,datatype,description,tags,url,uri,headers,payload,hook
Nebraska_Commercial_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Nebraska Commercial Electricity Price,PRICE,https://api.eia.gov//v2//seriesid//ELEC.PRICE.DC-COM.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.DC-COM.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Nebraska_Field_Production_of_Crude_Oil - 1 month,response.data[0].value,2592000,0,float,Nebraska Field Production of Crude Oil,OIL,https://api.eia.gov//v2//seriesid//PET.MCRFPNE2.M,https://api.eia.gov//v2//seriesid//PET.MCRFPNE2.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Nebraska_Industrial_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Nebraska Industrial Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.NE-IND.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.NE-IND.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Nebraska_Nuclear_Energy_Consumption - 1 yr,response.data[0].value,31449600,0,float,Nebraska Nuclear Energy Consumption,"nuclear, energy",https://api.eia.gov//v2//seriesid//SEDS.NUETB.NE.A,https://api.eia.gov//v2//seriesid//SEDS.NUETB.NE.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Nebraska_Petroleum_Liquids_Generation - 1 month,response.data[0].generation,2592000,0,float,Nebraska Petroleum Liquids Generation,PET,https://api.eia.gov//v2//seriesid//ELEC.GEN.PEL-NE-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.PEL-NE-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Nebraska_Petroleum_Products_Production - 1 yr,response.data[0].value,31449600,0,float,Nebraska Petroleum Products Production,PET,https://api.eia.gov//v2//seriesid//SEDS.PAPRB.NE.A,https://api.eia.gov//v2//seriesid//SEDS.PAPRB.NE.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Nebraska_Renewable_Energy_Consumption - 1 yr,response.data[0].value,31449600,0,float,Nebraska Renewable Energy Consumption,energy,https://api.eia.gov//v2//seriesid//SEDS.RETCB.NE.A,https://api.eia.gov//v2//seriesid//SEDS.RETCB.NE.A?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Nebraska_Residential_Electricity_Price - 1 month,response.data[0].price,2592000,0,float,Nebraska Residential Electricity Price,"PRICE,electricity",https://api.eia.gov//v2//seriesid//ELEC.PRICE.NE-RES.M,https://api.eia.gov//v2//seriesid//ELEC.PRICE.NE-RES.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
Nebraska_Unemployment_Rate - 1 month,observations[-1].value,2592000,0,float,Nebraska Unemployment Rate,unemployment,https://api.stlouisfed.org/fred/series/observations?series_id=NEUR&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=NEUR&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Nebraska_Wind_Generation - 1 month,response.data[0].generation,2592000,0,float,Nebraska Wind Generation,"electricity,wind",https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-NE-98.M,https://api.eia.gov//v2//seriesid//ELEC.GEN.WND-NE-98.M?api_key=wxFRLAoaTMQ9Ra7NvakhNKSxxstutZsG28nuerWR,,,
