stream,target,cadence,offset,datatype,description,tags,url,uri,headers,payload,hook
Producer_Price_Index_by_Commodity_for_Lumber_and_Wood_Products - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Commodity for Lumber and Wood Products,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=WPU08&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WPU08&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Commodity_for_Machinery_and_Equipment - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Commodity for Machinery and Equipment,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=WPU11&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WPU11&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Commodity_for_Metals_and_Metal_Products - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Commodity for Metals and Metal Products,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=WPU10&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WPU10&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Commodity_for_Miscellaneous_Products - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Commodity for Miscellaneous Products,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=WPU15&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WPU15&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Commodity_for_Nonmetallic_Mineral_Products - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Commodity for Nonmetallic Mineral Products,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=WPU13&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WPU13&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Commodity_for_Processed_Foods_and_Feeds - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Commodity for Processed Foods and Feeds,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=WPU02&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WPU02&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Commodity_for_Pulp_Paper_and_Allied_Products - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Commodity for Pulp Paper and Allied Products,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=WPU09&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WPU09&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Commodity_for_Rubber_and_Plastic_Products - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Commodity for Rubber and Plastic Products,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=WPU07&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WPU07&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Commodity_for_Textile_Products_and_Apparel - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Commodity for Textile Products and Apparel,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=WPU03&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WPU03&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Commodity_for_Transportation_Equipment - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Commodity for Transportation Equipment,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=WPU14&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=WPU14&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Commodity_Industrial_Commodities - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Commodity Industrial Commodities,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=PPIIDC&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PPIIDC&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Industry_Advertising_Agencies - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Industry Advertising Agencies,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=PCU5418105418101&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PCU5418105418101&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Industry_Agricultural_Implement_Manufacturing - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Industry Agricultural Implement Manufacturing,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=PCU333120333120&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PCU333120333120&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Industry_Amusement_and_Theme_Parks - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Industry Amusement and Theme Parks,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=PCU7131107131101&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PCU7131107131101&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Industry_Architectural_Services - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Industry Architectural Services,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=PCU5413105413101&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PCU5413105413101&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Industry_Beer_Wine_and_Liquor_Stores - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Industry Beer Wine and Liquor Stores,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=PCU4453104453101&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PCU4453104453101&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Industry_Cement_Manufacturing - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Industry Cement Manufacturing,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=PPICEM&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PPICEM&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Producer_Price_Index_by_Industry_Commercial_Banking - 1 month,observations[-1].value,2592000,0,float,Producer Price Index by Industry Commercial Banking,PRICE,https://api.stlouisfed.org/fred/series/observations?series_id=PCU5221105221101&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=PCU5221105221101&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
