stream,target,cadence,offset,datatype,description,tags,url,uri,headers,payload,hook
Euro_Short_Term_Rate_at_75th_Percentile_of_Volume - 1 day( 5/week ),observations[-1].value,86400,0,float,Euro Short Term Rate at 75th Percentile of Volume,rate,https://api.stlouisfed.org/fred/series/observations?series_id=ECBESTRRT75THPCTVOL&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=ECBESTRRT75THPCTVOL&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Childcare_Job_Postings_on_Indeed_in_the_United_States - 1 day,observations[-1].value,86400,0,float,Childcare Job Postings on Indeed in the United States,job,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPCHIL&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPCHIL&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
OECD_based_Recession_Indicators_for_Major_Seven_Countries_from_the_Peak_through_the_Trough - 1 day( 5/week ),observations[-1].value,86400,0,float,OECD based Recession Indicators for Major Seven Countries from the Peak through the Trough,OECD,https://api.stlouisfed.org/fred/series/observations?series_id=MSCRECDM&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=MSCRECDM&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Euro_Short_Term_Rate_Number_of_Transactions - 1 day( 5/week ),observations[-1].value,86400,0,float,Euro Short Term Rate Number of Transactions,rate,https://api.stlouisfed.org/fred/series/observations?series_id=ECBESTRNUMTRANS&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=ECBESTRNUMTRANS&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
OECD_based_Recession_Indicators_for_Brazil_from_the_Peak_through_the_Trough - 1 day( 5/week ),observations[-1].value,86400,0,float,OECD based Recession Indicators for Brazil from the Peak through the Trough,OECD,https://api.stlouisfed.org/fred/series/observations?series_id=BRARECD&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=BRARECD&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
OECD_based_Recession_Indicators_for_Spain_from_the_Period_following_the_Peak_through_the_Trough - 1 day( 5/week ),observations[-1].value,86400,0,float,OECD based Recession Indicators for Spain from the Period following the Peak through the Trough,OECD,https://api.stlouisfed.org/fred/series/observations?series_id=ESPRECD&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=ESPRECD&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Legal_Job_Postings_on_Indeed_in_the_United_States - 1 day,observations[-1].value,86400,0,float,Legal Job Postings on Indeed in the United States,job,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPLEGA&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPLEGA&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
OECD_based_Recession_Indicators_for_Denmark_from_the_Peak_through_the_Period_preceding_the_Trough - 1 day( 5/week ),observations[-1].value,86400,0,float,OECD based Recession Indicators for Denmark from the Peak through the Period preceding the Trough,OECD,https://api.stlouisfed.org/fred/series/observations?series_id=DNKRECDP&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=DNKRECDP&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
ICE_BofA_US_Emerging_Markets_Liquid_Corporate_Plus_Index_Option_Adjusted_Spread - 1 day( 5/week ),observations[-1].value,86400,0,float,ICE BofA US Emerging Markets Liquid Corporate Plus Index Option Adjusted Spread,ICE BofA,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLEMCLLCRPIUSOAS&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=BAMLEMCLLCRPIUSOAS&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Loading_and_Stocking_Job_Postings_on_Indeed_in_the_United_States - 1 day,observations[-1].value,86400,0,float,Loading and Stocking Job Postings on Indeed in the United States,job,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPLOST&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPLOST&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Accounting_Job_Postings_on_Indeed_in_Canada - 1 day,observations[-1].value,86400,0,float,Accounting Job Postings on Indeed in Canada,job,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXCATPACCO&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXCATPACCO&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
IT_Operations_and_Helpdesk_Job_Postings_on_Indeed_in_Canada - 1 day,observations[-1].value,86400,0,float,IT Operations and Helpdesk Job Postings on Indeed in Canada,job,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXCATPITOPHE&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXCATPITOPHE&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
New_Job_Postings_on_Indeed_in_Germany - 1 day,observations[-1].value,86400,0,float,New Job Postings on Indeed in Germany,job,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXNEWNSADE&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXNEWNSADE&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Cleaning_and_Sanitation_Job_Postings_on_Indeed_in_the_United_States - 1 day,observations[-1].value,86400,0,float,Cleaning and Sanitation Job Postings on Indeed in the United States,job,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPCLSA&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPCLSA&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Logistic_Support_Job_Postings_on_Indeed_in_the_United_States - 1 day,observations[-1].value,86400,0,float,Logistic Support Job Postings on Indeed in the United States,job,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPLOGISUPP&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPLOGISUPP&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Insurance_Job_Postings_on_Indeed_in_the_United_States - 1 day,observations[-1].value,86400,0,float,Insurance Job Postings on Indeed in the United States,job,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPINSU&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPINSU&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Euro_Short_Term_Rate_Number_of_Active_Banks - 1 day( 5/week ),observations[-1].value,86400,0,float,Euro Short Term Rate Number of Active Banks,banks,https://api.stlouisfed.org/fred/series/observations?series_id=ECBESTRNUMACTBANKS&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=ECBESTRNUMACTBANKS&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
30_Year_Fixed_Rate_Conforming_Mortgage_Index_Loan_to_Value_Less_Than_or_Equal_to_80_FICO_Score_Between_720_and_739 - 1 day( 5/week ),observations[-1].value,86400,0,float,30 Year Fixed Rate Conforming Mortgage Index Loan to Value Less Than or Equal to 80 FICO Score Between 720 and 739,mortgage,https://api.stlouisfed.org/fred/series/observations?series_id=OBMMIC30YFLVLE80FB720A739&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=OBMMIC30YFLVLE80FB720A739&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
US_Intervention_in_Market_Transactions_in_the_DEM_or_USD - 1 day( 5/week ),observations[-1].value,86400,0,float,US Intervention in Market Transactions in the DEM or USD,transaction,https://api.stlouisfed.org/fred/series/observations?series_id=USINTDMRKTDM&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=USINTDMRKTDM&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
30_Year_Fixed_Rate_Conforming_Mortgage_Index_FICO_Score_Between_700_and_719 - 1 day( 5/week ),observations[-1].value,86400,0,float,30 Year Fixed Rate Conforming Mortgage Index FICO Score Between 700 and 719,mortgage,https://api.stlouisfed.org/fred/series/observations?series_id=OBMMIC30YFLVGT80FB700A719&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=OBMMIC30YFLVGT80FB700A719&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Architecture_Job_Postings_on_Indeed_in_the_United_States - 1 day,observations[-1].value,86400,0,float,Architecture Job Postings on Indeed in the United States,job,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPARCH&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=IHLIDXUSTPARCH&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
3_Month_Prime_Commercial_Paper_Average_Dealer_Offering_Rate_Quoted_on_a_Discount_Basis - 1 day( 5/week ),observations[-1].value,86400,0,float,3 Month Prime Commercial Paper Average Dealer Offering Rate Quoted on a Discount Basis,rate,https://api.stlouisfed.org/fred/series/observations?series_id=H15H0RIFSPPCM03NB&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=H15H0RIFSPPCM03NB&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
Euro_Short_Term_Rate_at_25th_Percentile_of_Volume - 1 day( 5/week ),observations[-1].value,86400,0,float,Euro Short Term Rate at 25th Percentile of Volume,rate,https://api.stlouisfed.org/fred/series/observations?series_id=ECBESTRRT25THPCTVOL&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=ECBESTRRT25THPCTVOL&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
OECD_based_Recession_Indicators_for_OECD_Europe_from_the_Peak_through_the_Trough - 1 day( 5/week ),observations[-1].value,86400,0,float,OECD based Recession Indicators for OECD Europe from the Peak through the Trough,OECD,https://api.stlouisfed.org/fred/series/observations?series_id=OECDEUROPERECDM&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=OECDEUROPERECDM&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
7_Day_A2_or_P2_Nonfinancial_Commercial_Paper_Interest_Rate - 1 day( 5/week ),observations[-1].value,86400,0,float,7 Day A2 or P2 Nonfinancial Commercial Paper Interest Rate,rate,https://api.stlouisfed.org/fred/series/observations?series_id=RIFSPPNA2P2D07NB&file_type=json,https://api.stlouisfed.org/fred/series/observations?series_id=RIFSPPNA2P2D07NB&api_key=7ef44306675240d156b2b8786339b867&file_type=json,,,
